diaper, nappy, napki nipple      bucket, pail  swing     
Indiaelephant, Elephas maximus  tusker      Africaelephant, Loxodonta africana  Labrador retriever
hair slide  safety pi pill bottle  syringe   
hair slide  mask        thimble     buckle    
pick, plectrum, plectro tick        wool, woolen, woolle Granny Smith
cougar, puma, catamount, mountailion, painter, panther, Felis concolor  lion, king of beasts, Panthera leo  bathtub, bathing tub, bath, tub  bubble    
cup         face powder  hair slide  pill bottle
bagel, beigel  face powder  ptarmiga  weasel    
gow       overskirt   hoopskirt, crinoline  stole     
chambered nautilus, pearly nautilus, nautilus  loupe, jeweler's loupe  bubble      pick, plectrum, plectron
bonnet, poke bonnet  diaper, nappy, napki conch       shower cap
television, televisiosystem  car mirror  seashore, coast, seacoast, sea-coast  alp       
spotlight, spot  sunglass    loupe, jeweler's loupe  sunglasses, dark glasses, shades
parachute, chute  sunglass    car mirror  sunglasses, dark glasses, shades
pick, plectrum, plectro bubble      consomme    Petri dish
spotlight, spot  cup         goblet      jellyfish 
face powder  loupe, jeweler's loupe  spotlight, spot  car mirror
hourglass   nipple      spotlight, spot  saltshaker, salt shaker
pick, plectrum, plectro puck, hockey puck  dumbbell    sunglasses, dark glasses, shades
spotlight, spot  hourglass   wall clock  loupe, jeweler's loupe
spotlight, spot  loupe, jeweler's loupe  screw       bubble    
toilet seat  spotlight, spot  soap dispenser  bannister, banister, balustrade, balusters, handrail
face powder  golf ball   trifle      ice cream, icecream
ski         puck, hockey puck  paddle, boat paddle  spotlight, spot
bubble      spotlight, spot  pill bottle  loupe, jeweler's loupe
magnetic compass  loupe, jeweler's loupe  sunglasses, dark glasses, shades  wall clock
night snake, Hypsiglena torquata  Indiacobra, Naja naja  sidewinder, horned rattlesnake, Crotalus cerastes  king snake, kingsnake
loupe, jeweler's loupe  spotlight, spot  screw       sunglasses, dark glasses, shades
nipple      conch       diaper, nappy, napki bubble    
canno     tricycle, trike, velocipede  cornet, horn, trumpet, trump  French horn, horn
viaduct     balloo    parachute, chute  radio telescope, radio reflector
nematode, nematode worm, roundworm  jellyfish   isopod      chambered nautilus, pearly nautilus, nautilus
spotlight, spot  airship, dirigible  bathing cap, swimming cap  planetarium
pill bottle  golf ball   face powder  cor     
bubble      loupe, jeweler's loupe  water bottle  tub, vat  
spotlight, spot  hair slide  bubble      perfume, essence
digital watch  dumbbell    digital clock  whistle   
car mirror  sunglass    bubble      sunglasses, dark glasses, shades
balloo    bubble      spotlight, spot  hourglass 
football helmet  bubble      crash helmet  parachute, chute
bubble      loupe, jeweler's loupe  scorpio   jellyfish 
pencil sharpener  spotlight, spot  loupe, jeweler's loupe  pick, plectrum, plectron
head cabbage  hair slide  strawberry  braicoral
strainer    hair slide  bubble      Petri dish
mortar      honeycomb   strainer    mixing bowl
hamster     teddy, teddy bear  Bedlingtoterrier  pencil sharpener
boathouse   soccer ball  wall clock  croquet ball
lampshade, lamp shade  bonnet, poke bonnet  handkerchief, hankie, hanky, hankey  paper towel
espresso    cup         eggnog      beer glass
shower cap  head cabbage  necklace    plastic bag
goblet      spotlight, spot  perfume, essence  lampshade, lamp shade
night snake, Hypsiglena torquata  hognose snake, puff adder, sand viper  king snake, kingsnake  sidewinder, horned rattlesnake, Crotalus cerastes
bubble      Petri dish  steel drum  golf ball 
quill, quill pe paintbrush  maraca      swab, swob, mop
jigsaw puzzle  modem       wall clock  analog clock
pill bottle  lotio     ping-pong ball  cor     
hair slide  pick, plectrum, plectro necklace    loupe, jeweler's loupe
pick, plectrum, plectro goblet      cup         paintbrush
bubble      fountai   water bottle  hourglass 
nematode, nematode worm, roundworm  chocolate sauce, chocolate syrup  cup         hammer    
perfume, essence  half track  web site, website, internet site, site  beacon, lighthouse, beacolight, pharos
spotlight, spot  puck, hockey puck  rule, ruler  water bottle
table lamp  candle, taper, wax light  vase        pedestal, plinth, footstall
hook, claw  lakeside, lakeshore  park bench  shovel    
maraca      lampshade, lamp shade  shower cap  pick, plectrum, plectron
spotlight, spot  solar dish, solar collector, solar furnace  radio telescope, radio reflector  electric fan, blower
sunglass    trombone    bubble      cornet, horn, trumpet, trump
pick, plectrum, plectro spotlight, spot  shower cap  loupe, jeweler's loupe
necklace    face powder  shower cap  hair slide
slug        snail       nematode, nematode worm, roundworm  conch     
bubble      conch       necklace    jellyfish 
shower cap  spotlight, spot  screw       chambered nautilus, pearly nautilus, nautilus
sunglass    sunglasses, dark glasses, shades  harmonica, mouth organ, harp, mouth harp  pick, plectrum, plectron
head cabbage  thimble     pick, plectrum, plectro hair slide
sunglasses, dark glasses, shades  sunglass    tricycle, trike, velocipede  television, televisiosystem
perfume, essence  red wine    nipple      beaker    
spotlight, spot  sunglasses, dark glasses, shades  loupe, jeweler's loupe  sunglass  
car mirror  loupe, jeweler's loupe  bubble      television, televisiosystem
sunglass    sunglasses, dark glasses, shades  bubble      loupe, jeweler's loupe
bubble      loupe, jeweler's loupe  crash helmet  perfume, essence
car mirror  loupe, jeweler's loupe  sunglasses, dark glasses, shades  sunglass  
spotlight, spot  toilet seat  television, televisiosystem  printer   
shower cap  bubble      jellyfish   golf ball 
bubble      fountai   car mirror  spotlight, spot
nipple      spotlight, spot  pill bottle  lotio   
chambered nautilus, pearly nautilus, nautilus  jellyfish   spotlight, spot  shower cap
artichoke, globe artichoke  mantis, mantid  vase        plate     
hog, pig, grunter, squealer, Sus scrofa  isopod      Arctic fox, white fox, Alopex lagopus  ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus
Africaelephant, Loxodonta africana  Indiaelephant, Elephas maximus  tusker      bathing cap, swimming cap
swimming trunks, bathing trunks  bikini, two-piece  maillot, tank suit  maillot   
radio telescope, radio reflector  spotlight, spot  parachute, chute  lampshade, lamp shade
cor       pill bottle  necklace    chiton, coat-of-mail shell, sea cradle, polyplacophore
sundial     spotlight, spot  candle, taper, wax light  quill, quill pen
swing       parachute, chute  sunglass    sunglasses, dark glasses, shades
sunglasses, dark glasses, shades  sunglass    mask        buckle    
viaduct     dam, dike, dyke  mosque      pier      
hair slide  pomegranate  head cabbage  vase      
sunglasses, dark glasses, shades  sunglass    loupe, jeweler's loupe  car mirror
pick, plectrum, plectro shower cap  face powder  loupe, jeweler's loupe
king penguin, Aptenodytes patagonica  golf ball   quill, quill pe paper towel
hair slide  pencil sharpener  necklace    buckle    
screw       paper towel  golf ball   toilet tissue, toilet paper, bathroom tissue
spotlight, spot  thimble     screw       pick, plectrum, plectron
spotlight, spot  dining table, board  sunglasses, dark glasses, shades  wall clock
matchstick  pill bottle  golf ball   cup       
sunglass    sunglasses, dark glasses, shades  car mirror  bubble    
sunglasses, dark glasses, shades  shower cap  nematode, nematode worm, roundworm  car mirror
perfume, essence  face powder  pencil sharpener  soap dispenser
face powder  balloo    car mirror  sunglass  
nail        pencil sharpener  rule, ruler  thimble   
shield, buckler  breastplate, aegis, egis  cuirass     mask      
spotlight, spot  goblet      soap dispenser  perfume, essence
spotlight, spot  thimble     loupe, jeweler's loupe  bottlecap 
bathing cap, swimming cap  bubble      sunglass    pick, plectrum, plectron
spotlight, spot  bubble      oxygemask  parachute, chute
sunglass    sunglasses, dark glasses, shades  pick, plectrum, plectro loupe, jeweler's loupe
loupe, jeweler's loupe  pick, plectrum, plectro spotlight, spot  bathing cap, swimming cap
picket fence, paling  bannister, banister, balustrade, balusters, handrail  nail        chime, bell, gong
golf ball   hourglass   ping-pong ball  loupe, jeweler's loupe
shower cap  hair slide  mortar      vase      
screw       chambered nautilus, pearly nautilus, nautilus  coil, spiral, volute, whorl, helix  jellyfish 
necklace    paper towel  plate       bathtub, bathing tub, bath, tub
shield, buckler  reel        buckle      French horn, horn
pick, plectrum, plectro toilet seat  shower cap  face powder
sunglass    bow tie, bow-tie, bowtie  switch, electric switch, electrical switch  sunglasses, dark glasses, shades
bubble      car mirror  spotlight, spot  loupe, jeweler's loupe
car mirror  sunglass    sunglasses, dark glasses, shades  spotlight, spot
sunglasses, dark glasses, shades  sunglass    spotlight, spot  loupe, jeweler's loupe
jigsaw puzzle  sunglass    balloo    spotlight, spot
screw       thimble     starfish, sea star  spotlight, spot
screw       spotlight, spot  loupe, jeweler's loupe  plate     
grey fox, gray fox, Urocyocinereoargenteus  Arctic fox, white fox, Alopex lagopus  timber wolf, grey wolf, gray wolf, Canis lupus  coyote, prairie wolf, brush wolf, Canis latrans
spotlight, spot  pick, plectrum, plectro thimble     Band Aid  
shower cap  bubble      pick, plectrum, plectro jellyfish 
face powder  spotlight, spot  paintbrush  shower cap
liner, ocealiner  balloo    spotlight, spot  paddlewheel, paddle wheel
spotlight, spot  shoe shop, shoe-shop, shoe store  sunglasses, dark glasses, shades  loupe, jeweler's loupe
cor       pill bottle  safety pi ear, spike, capitulum
dumbbell    bow tie, bow-tie, bowtie  loupe, jeweler's loupe  car mirror
oxcart      ox          water buffalo, water ox, Asiatic buffalo, Bubalus bubalis  piggy bank, penny bank
spotlight, spot  microphone, mike  loupe, jeweler's loupe  hand blower, blow dryer, blow drier, hair dryer, hair drier
browbear, bruin, Ursus arctos  chimpanzee, chimp, Patroglodytes  howler monkey, howler  three-toed sloth, ai, Bradypus tridactylus
pill bottle  nipple      lotio     mortar    
shower cap  sunglasses, dark glasses, shades  loupe, jeweler's loupe  screw     
white wolf, Arctic wolf, Canis lupus tundrarum  Arctic fox, white fox, Alopex lagopus  llama       ram, tup  
ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus  French bulldog  white wolf, Arctic wolf, Canis lupus tundrarum  Eskimo dog, husky
palace      hair slide  jigsaw puzzle  fountai 
racer, race car, racing car  amphibian, amphibious vehicle  magnetic compass  spotlight, spot
shower cap  hair slide  toilet seat  spotlight, spot
hair slide  spotlight, spot  thimble     strainer  
sunglass    spotlight, spot  sunglasses, dark glasses, shades  loupe, jeweler's loupe
parachute, chute  bubble      half track  spotlight, spot
golf ball   spindle     maraca      Granny Smith
mortar      alp         bathtub, bathing tub, bath, tub  shower cap
pick, plectrum, plectro hourglass   Petri dish  spotlight, spot
bubble      loupe, jeweler's loupe  lemo      pick, plectrum, plectron
basketball  soccer ball  volleyball  maillot   
hair slide  chime, bell, gong  safety pi screw     
isopod      matchstick  cricket     Petri dish
matchstick  pill bottle  coil, spiral, volute, whorl, helix  knot      
face powder  strawberry  thimble     Band Aid  
pill bottle  daisy       coil, spiral, volute, whorl, helix  hair slide
pick, plectrum, plectro coffee mug  puck, hockey puck  cup       
mortar      French loaf  nematode, nematode worm, roundworm  bath towel
spotlight, spot  hourglass   table lamp  bubble    
spotlight, spot  loupe, jeweler's loupe  pick, plectrum, plectro bubble    
lynx, catamount  ice cream, icecream  bucket, pail  coyote, prairie wolf, brush wolf, Canis latrans
sunglass    gasmask, respirator, gas helmet  loupe, jeweler's loupe  cup       
parachute, chute  bassinet    cradle      harp      
spotlight, spot  strainer    wall clock  magnetic compass
shower cap  sunglass    pick, plectrum, plectro whistle   
bonnet, poke bonnet  pick, plectrum, plectro loupe, jeweler's loupe  necklace  
pencil sharpener  screw       bottlecap   necklace  
chimpanzee, chimp, Patroglodytes  gorilla, Gorilla gorilla  loupe, jeweler's loupe  orangutan, orang, orangutang, Pongo pygmaeus
face powder  hair slide  broccoli    strainer  
face powder  hay         spotlight, spot  tennis ball
chiton, coat-of-mail shell, sea cradle, polyplacophore  Band Aid    chambered nautilus, pearly nautilus, nautilus  coil, spiral, volute, whorl, helix
buckle      spotlight, spot  hair slide  radiator  
spotlight, spot  loupe, jeweler's loupe  cassette    toilet seat
spotlight, spot  hourglass   panpipe, pandeapipe, syrinx  pencil sharpener
loupe, jeweler's loupe  car mirror  golf ball   sunglass  
pill bottle  hair slide  necklace    ping-pong ball
hair slide  necklace    coil, spiral, volute, whorl, helix  plate     
shower cap  crash helmet  wig         bathing cap, swimming cap
spotlight, spot  oxygemask  hourglass   goblet    
sunglass    sunglasses, dark glasses, shades  loupe, jeweler's loupe  airship, dirigible
pill bottle  coil, spiral, volute, whorl, helix  chai      hair slide
screw       spotlight, spot  lacewing, lacewing fly  ant, emmet, pismire
conch       triceratops  piggy bank, penny bank  diaper, nappy, napkin
ice cream, icecream  dough       mixing bowl  potpie    
tricycle, trike, velocipede  toilet seat  park bench  bucket, pail
meerkat, mierkat  three-toed sloth, ai, Bradypus tridactylus  squirrel monkey, Saimiri sciureus  titi, titi monkey
toilet seat  shower cap  radio telescope, radio reflector  spotlight, spot
sunglass    bubble      spotlight, spot  vase      
ice cream, icecream  cup         vase        bonnet, poke bonnet
llama       weasel      meerkat, mierkat  bubble    
cup         mortar      loupe, jeweler's loupe  screw     
screw       Granny Smith  candle, taper, wax light  pick, plectrum, plectron
screw       strawberry  shower cap  pick, plectrum, plectron
pill bottle  matchstick  cup         ping-pong ball
fountai   spotlight, spot  bubble      hourglass 
half track  groom, bridegroom  lab coat, laboratory coat  tricycle, trike, velocipede
hourglass   nail        screw       spotlight, spot
mosque      bell cote, bell cot  dome        altar     
car mirror  sunglass    radio telescope, radio reflector  sunglasses, dark glasses, shades
spotlight, spot  jellyfish   goblet      pick, plectrum, plectron
spotlight, spot  thimble     cheetah, chetah, Acinonyx jubatus  bubble    
web site, website, internet site, site  spotlight, spot  liner, ocealiner  balloo  
zebra       chambered nautilus, pearly nautilus, nautilus  gazelle     screw     
cougar, puma, catamount, mountailion, painter, panther, Felis concolor  Egyptiacat  Arctic fox, white fox, Alopex lagopus  grey fox, gray fox, Urocyocinereoargenteus
shower cap  bathing cap, swimming cap  tennis ball  face powder
chambered nautilus, pearly nautilus, nautilus  hair slide  spotlight, spot  ladle     
groom, bridegroom  maypole     hoopskirt, crinoline  plastic bag
toilet seat  washbasin, handbasin, washbowl, lavabo, wash-hand basi bathtub, bathing tub, bath, tub  spotlight, spot
hair slide  sunglass    face powder  necklace  
hummingbird  water ouzel, dipper  junco, snowbird  chickadee 
overskirt   lampshade, lamp shade  hourglass   spotlight, spot
cup         goblet      thimble     pick, plectrum, plectron
coffee mug  cup         loupe, jeweler's loupe  pick, plectrum, plectron
face powder  spotlight, spot  shower cap  pick, plectrum, plectron
ear, spike, capitulum  cor       maraca      acor    
face powder  vase        sunglass    sunglasses, dark glasses, shades
hourglass   hair slide  pill bottle  necklace  
pill bottle  mortar      cup         bubble    
face powder  golf ball   spotlight, spot  thimble   
face powder  tennis ball  wool, woolen, woolle maraca    
liner, ocealiner  fireboat    solar dish, solar collector, solar furnace  container ship, containership, container vessel
otterhound, otter hound  clumber, clumber spaniel  Norfolk terrier  cocker spaniel, English cocker spaniel, cocker
bannister, banister, balustrade, balusters, handrail  rule, ruler  spotlight, spot  pick, plectrum, plectron
golf ball   bubble      spotlight, spot  face powder
basketball  French horn, hor soccer ball  television, televisiosystem
rugby ball  baseball    pick, plectrum, plectro sombrero  
pick, plectrum, plectro face powder  sombrero    maraca    
papillo   Chihuahua   Shetland sheepdog, Shetland sheep dog, Shetland  Madagascar cat, ring-tailed lemur, Lemur catta
screw       dumbbell    puck, hockey puck  mortar    
vase        bee         candle, taper, wax light  fly       
spotlight, spot  pencil sharpener  switch, electric switch, electrical switch  pill bottle
face powder  hair slide  perfume, essence  lotio   
bubble      spotlight, spot  sunglass    sunglasses, dark glasses, shades
face powder  shower cap  plastic bag  toilet tissue, toilet paper, bathroom tissue
dough       face powder  wig         chambered nautilus, pearly nautilus, nautilus
chambered nautilus, pearly nautilus, nautilus  barspider, Araneus cavaticus  strawberry  spider web, spider's web
medicine chest, medicine cabinet  thimble     perfume, essence  lotio   
capuchin, ringtail, Cebus capucinus  titi, titi monkey  gibbon, Hylobates lar  bubble    
face powder  bonnet, poke bonnet  shower cap  chaimail, ring mail, mail, chaiarmor, chaiarmour, ring armor, ring armour
toilet tissue, toilet paper, bathroom tissue  paper towel  screw       pick, plectrum, plectron
screw       isopod      bubble      loupe, jeweler's loupe
face powder  shower cap  lemo      mixing bowl
toilet seat  mouse, computer mouse  washbasin, handbasin, washbowl, lavabo, wash-hand basi cup       
hair slide  nematode, nematode worm, roundworm  buckle      necklace  
pick, plectrum, plectro shield, buckler  screw       buckle    
banjo       electric guitar  acoustic guitar  planetarium
pick, plectrum, plectro hair slide  jellyfish   spotlight, spot
shower cap  plastic bag  spotlight, spot  loupe, jeweler's loupe
bubble      mosque      rule, ruler  loupe, jeweler's loupe
parachute, chute  balloo    bubble      fountai 
sunglass    sunglasses, dark glasses, shades  jigsaw puzzle  car mirror
bikini, two-piece  hair spray  groom, bridegroom  tub, vat  
bubble      balloo    Petri dish  car mirror
Arctic fox, white fox, Alopex lagopus  weasel      parachute, chute  ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus
shower cap  face powder  loupe, jeweler's loupe  spotlight, spot
pick, plectrum, plectro hermit crab  crayfish, crawfish, crawdad, crawdaddy  screw     
cauliflower  face powder  mixing bowl  woodespoon
spotlight, spot  soap dispenser  toilet seat  Windsor tie
face powder  seashore, coast, seacoast, sea-coast  honeycomb   bonnet, poke bonnet
spotlight, spot  loupe, jeweler's loupe  face powder  thimble   
Labrador retriever  pug, pug-dog  Arctic fox, white fox, Alopex lagopus  Chihuahua 
custard apple  fig         hip, rose hip, rosehip  pomegranate
cup         mortar      radio telescope, radio reflector  paper towel
hair slide  pill bottle  necklace    thimble   
ram, tup    Weimaraner  ox          bighorn, bighorsheep, cimarron, Rocky Mountaibighorn, Rocky Mountaisheep, Ovis canadensis
sunglass    sunglasses, dark glasses, shades  valley, vale  viaduct   
fountai   car mirror  bubble      balloo  
fireboat    bathing cap, swimming cap  fountai   liner, ocealiner
goblet      shower cap  bubble      muzzle    
bubble      car mirror  loupe, jeweler's loupe  spotlight, spot
analog clock  perfume, essence  wall clock  bell cote, bell cot
carbonara   hair slide  nail        safety pin
lampshade, lamp shade  hoopskirt, crinoline  table lamp  spotlight, spot
banjo       sunglass    trombone    French horn, horn
sunglass    spotlight, spot  sunglasses, dark glasses, shades  loupe, jeweler's loupe
artichoke, globe artichoke  plastic bag  vase        head cabbage
hair slide  pill bottle  necklace    chai    
lab coat, laboratory coat  vestment    wig         bow tie, bow-tie, bowtie
streetcar, tram, tramcar, trolley, trolley car  passenger car, coach, carriage  spotlight, spot  sunglass  
spotlight, spot  desk        library     photocopier
spotlight, spot  half track  thresher, thrasher, threshing machine  screw     
fig         mortar      banana      mushroom  
kite        ptarmiga  spotlight, spot  water ouzel, dipper
spotlight, spot  loupe, jeweler's loupe  library     desk      
perfume, essence  pencil sharpener  piggy bank, penny bank  candle, taper, wax light
timber wolf, grey wolf, gray wolf, Canis lupus  coyote, prairie wolf, brush wolf, Canis latrans  white wolf, Arctic wolf, Canis lupus tundrarum  Arctic fox, white fox, Alopex lagopus
terrapi   head cabbage  shower cap  mud turtle
spotlight, spot  golf ball   face powder  pick, plectrum, plectron
face powder  shower cap  spotlight, spot  bonnet, poke bonnet
hay         ox          browbear, bruin, Ursus arctos  bubble    
shower cap  plastic bag  lemo      head cabbage
pill bottle  hair slide  necklace    safety pin
loupe, jeweler's loupe  bubble      mask        Band Aid  
seashore, coast, seacoast, sea-coast  lakeside, lakeshore  sunglass    car mirror
spotlight, spot  hourglass   bubble      loupe, jeweler's loupe
mosquito net  bassinet    crib, cot   lampshade, lamp shade
car mirror  sunglass    face powder  loupe, jeweler's loupe
nail        screw       screwdriver  syringe   
spotlight, spot  golf ball   lotio     hair spray
weasel      Arctic fox, white fox, Alopex lagopus  badger      mink      
pill bottle  consomme    cor       necklace  
pick, plectrum, plectro paintbrush  rubber eraser, rubber, pencil eraser  tick      
tub, vat    fountai   bathing cap, swimming cap  bathtub, bathing tub, bath, tub
sunglass    sunglasses, dark glasses, shades  pick, plectrum, plectro car mirror
water jug   pitcher, ewer  measuring cup  coffee mug
spotlight, spot  sunglass    loupe, jeweler's loupe  airship, dirigible
car mirror  sunglass    sunglasses, dark glasses, shades  rapeseed  
golf ball   spotlight, spot  pick, plectrum, plectro loupe, jeweler's loupe
pill bottle  ping-pong ball  cup         mortar    
oxygemask  gasmask, respirator, gas helmet  lab coat, laboratory coat  hoopskirt, crinoline
knot        toy poodle  soft-coated wheateterrier  cup       
shower cap  balance beam, beam  television, televisiosystem  hoopskirt, crinoline
wall clock  analog clock  loupe, jeweler's loupe  birdhouse 
shower cap  spotlight, spot  face powder  pick, plectrum, plectron
bubble      chocolate sauce, chocolate syrup  hair slide  ice cream, icecream
bubble      nipple      perfume, essence  loupe, jeweler's loupe
feather boa, boa  fur coat    tub, vat    hand blower, blow dryer, blow drier, hair dryer, hair drier
shower cap  face powder  dough       paper towel
shower cap  bonnet, poke bonnet  pedestal, plinth, footstall  hoopskirt, crinoline
mortar      ladle       hourglass   screw     
spotlight, spot  thimble     maraca      lampshade, lamp shade
hair slide  necklace    pill bottle  bubble    
bell pepper  nipple      ice cream, icecream  hair slide
gong, tam-tam  ox          oxcart      bubble    
ram, tup    bighorn, bighorsheep, cimarron, Rocky Mountaibighorn, Rocky Mountaisheep, Ovis canadensis  coil, spiral, volute, whorl, helix  conch     
bubble      spotlight, spot  loupe, jeweler's loupe  sunglass  
shower cap  mask        wig         pick, plectrum, plectron
pick, plectrum, plectro toilet seat  spotlight, spot  face powder
shower cap  toilet seat  tub, vat    bathtub, bathing tub, bath, tub
toilet seat  bubble      tub, vat    loupe, jeweler's loupe
Americachameleon, anole, Anolis carolinensis  banded gecko  alligator lizard  Africachameleon, Chamaeleo chamaeleon
puck, hockey puck  face powder  loupe, jeweler's loupe  golf ball 
minibus     racer, race car, racing car  car wheel   sports car, sport car
hair slide  spatula     nail        safety pin
goblet      hourglass   vase        pitcher, ewer
hair slide  necklace    spotlight, spot  loupe, jeweler's loupe
dough       head cabbage  swab, swob, mop  cauliflower
bubble      sunglass    sunglasses, dark glasses, shades  pick, plectrum, plectron
thimble     spotlight, spot  bottlecap   harmonica, mouth organ, harp, mouth harp
shower cap  hair slide  tick        solar dish, solar collector, solar furnace
tractor     tricycle, trike, velocipede  Model T     plow, plough
tusker      Weimaraner  Indiaelephant, Elephas maximus  Africaelephant, Loxodonta africana
Weimaraner  Africaelephant, Loxodonta africana  tusker      Indiaelephant, Elephas maximus
face powder  sea urchi paintbrush  lemo    
bubble      bath towel  shower cap  Weimaraner
cor       cauliflower  hair slide  mixing bowl
bubble      perfume, essence  spotlight, spot  pinwheel  
borzoi, Russiawolfhound  ox          white wolf, Arctic wolf, Canis lupus tundrarum  oxcart    
hamster     fox squirrel, easterfox squirrel, Sciurus niger  cor       mink      
lion, king of beasts, Panthera leo  clumber, clumber spaniel  English setter  golderetriever
bubble      hourglass   red wine    sunglass  
shower cap  lemo      face powder  spotlight, spot
shower cap  chambered nautilus, pearly nautilus, nautilus  nematode, nematode worm, roundworm  face powder
radio telescope, radio reflector  spotlight, spot  hourglass   loupe, jeweler's loupe
shower cap  toilet seat  bathtub, bathing tub, bath, tub  academic gown, academic robe, judge's robe
biso      chow, chow chow  toy poodle  hamster   
sunglass    sunglasses, dark glasses, shades  car mirror  snorkel   
balance beam, beam  bubble      sunglass    sunglasses, dark glasses, shades
loupe, jeweler's loupe  car mirror  wall clock  pinwheel  
Arctic fox, white fox, Alopex lagopus  white wolf, Arctic wolf, Canis lupus tundrarum  timber wolf, grey wolf, gray wolf, Canis lupus  ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus
spotlight, spot  toaster     microphone, mike  hourglass 
shower cap  face powder  plate       lemo    
spotlight, spot  pick, plectrum, plectro screw       loupe, jeweler's loupe
military uniform  loupe, jeweler's loupe  bubble      shower cap
tub, vat    bathtub, bathing tub, bath, tub  toilet tissue, toilet paper, bathroom tissue  gorilla, Gorilla gorilla
screw       hook, claw  safety pi cockroach, roach
spotlight, spot  bubble      balloo    face powder
weasel      hamster     meerkat, mierkat  dough     
screw       pick, plectrum, plectro bubble      jellyfish 
football helmet  spotlight, spot  gasmask, respirator, gas helmet  muzzle    
shower cap  pajama, pyjama, pj's, jammies  kimono      bonnet, poke bonnet
spotlight, spot  chambered nautilus, pearly nautilus, nautilus  thimble     pick, plectrum, plectron
strainer    nail        safety pi spatula   
toilet seat  face powder  bucket, pail  bath towel
spotlight, spot  pick, plectrum, plectro screw       loupe, jeweler's loupe
plastic bag  brassiere, bra, bandeau  punching bag, punch bag, punching ball, punchball  mailbag, postbag
spotlight, spot  shower cap  pick, plectrum, plectro toilet seat
sunglass    loupe, jeweler's loupe  spotlight, spot  sunglasses, dark glasses, shades
shower cap  head cabbage  face powder  bonnet, poke bonnet
mountaitent  shovel      paper towel  paddle, boat paddle
gondola     canoe       face powder  paddle, boat paddle
Arctic fox, white fox, Alopex lagopus  bubble      hare        ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus
shower cap  Sussex spaniel  titi, titi monkey  weasel    
shopping basket  stretcher   solar dish, solar collector, solar furnace  safety pin
face powder  screw       toilet seat  spotlight, spot
spotlight, spot  dome        iron, smoothing iro bell cote, bell cot
pill bottle  piggy bank, penny bank  golf ball   hair slide
bubble      bathing cap, swimming cap  football helmet  shower cap
sunglass    face powder  sunglasses, dark glasses, shades  bathing cap, swimming cap
spotlight, spot  loupe, jeweler's loupe  gasmask, respirator, gas helmet  pick, plectrum, plectron
pick, plectrum, plectro nipple      screw       cup       
sea urchi face powder  coil, spiral, volute, whorl, helix  hair slide
lotio     thimble     perfume, essence  chambered nautilus, pearly nautilus, nautilus
shower cap  face powder  toilet seat  Petri dish
pill bottle  cup         piggy bank, penny bank  necklace  
sunglass    sunglasses, dark glasses, shades  pick, plectrum, plectro face powder
alligator lizard  banded gecko  whiptail, whiptail lizard  agama     
pick, plectrum, plectro perfume, essence  goblet      red wine  
Americaegret, great white heron, Egretta albus  little blue heron, Egretta caerulea  crane       albatross, mollymawk
necklace    jellyfish   bubble      fig       
piggy bank, penny bank  mask        ocarina, sweet potato  Granny Smith
perfume, essence  spotlight, spot  oxygemask  gasmask, respirator, gas helmet
wall clock  ocarina, sweet potato  spotlight, spot  microphone, mike
macaque     weasel      patas, hussar monkey, Erythrocebus patas  gibbon, Hylobates lar
sunglasses, dark glasses, shades  sunglass    magnetic compass  wall clock
bloodhound, sleuthhound  bubble      ox          oxcart    
spotlight, spot  perfume, essence  bubble      water bottle
thimble     spotlight, spot  dome        chime, bell, gong
sunglass    sunglasses, dark glasses, shades  puck, hockey puck  spotlight, spot
isopod      screw       tick        spotlight, spot
golf ball   pill bottle  ping-pong ball  thimble   
cup         coffee mug  tray        pitcher, ewer
washbasin, handbasin, washbowl, lavabo, wash-hand basi bathtub, bathing tub, bath, tub  spotlight, spot  hourglass 
spotlight, spot  Petri dish  face powder  loupe, jeweler's loupe
sunglass    sunglasses, dark glasses, shades  car mirror  loupe, jeweler's loupe
soap dispenser  mouse, computer mouse  face powder  lipstick, lip rouge
bubble      spotlight, spot  fig         strawberry
chimpanzee, chimp, Patroglodytes  three-toed sloth, ai, Bradypus tridactylus  gibbon, Hylobates lar  orangutan, orang, orangutang, Pongo pygmaeus
ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus  Arctic fox, white fox, Alopex lagopus  weasel      white wolf, Arctic wolf, Canis lupus tundrarum
hair slide  sea anemone, anemone  coil, spiral, volute, whorl, helix  anemone fish
spotlight, spot  hourglass   perfume, essence  wall clock
sunglass    sunglasses, dark glasses, shades  spotlight, spot  canno   
beacon, lighthouse, beacolight, pharos  bell cote, bell cot  breakwater, groin, groyne, mole, bulwark, seawall, jetty  cocktail shaker
volcano     balloo    hip, rose hip, rosehip  cauliflower
pick, plectrum, plectro plate       ant, emmet, pismire  daisy     
bubble      spotlight, spot  golf ball   loupe, jeweler's loupe
spotlight, spot  airship, dirigible  balloo    loupe, jeweler's loupe
toilet seat  bathtub, bathing tub, bath, tub  tub, vat    oxygemask
banjo       violin, fiddle  cello, violoncello  shield, buckler
